osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
48189881,Sorbenweg,unclassified,50,,False,False,15.983,2,"LINESTRING (7.3831953 51.4939709, 7.3832522 51.4941102)",,,,,,
48189881,Sorbenweg,unclassified,50,,False,True,42.253,2,"LINESTRING (7.3831953 51.4939709, 7.3830438 51.4936028)",,,,,,
57691657,,service,,,False,False,7.004,,"LINESTRING (7.3831953 51.4939709, 7.3831042 51.4939983)",parking_aisle,,,,,
48189881,Sorbenweg,unclassified,50,,False,False,8.744,2,"LINESTRING (7.3830126 51.4935266, 7.3830438 51.4936028)",,,,,,
48189881,Sorbenweg,unclassified,50,,False,True,8.717,2,"LINESTRING (7.3830126 51.4935266, 7.3829799 51.4934509)",,,,,,
"[316437976, 57692588]",Brennaborstraße,secondary,50,,True,False,154.377,"['1', '2']","LINESTRING (7.3830126 51.4935266, 7.3824922 51.493585, 7.3818432 51.4936284, 7.3812676 51.4936688, 7.3807997 51.4936901)",,L 649,,,,
48189881,Sorbenweg,unclassified,50,,False,False,8.717,2,"LINESTRING (7.3829799 51.4934509, 7.3830126 51.4935266)",,,,,,
368622497,Brennaborstraße,secondary,50,,True,False,11.996,1,"LINESTRING (7.3829799 51.4934509, 7.383153 51.4934461)",,L 649,,,,
4236556,Emil-Figge-Straße,residential,50,,False,False,21.06,,"LINESTRING (7.4008864 51.4930063, 7.4005822 51.4930065)",,,,,,
"[53621881, 49430471]",,"['footway', 'service']",,,False,False,46.896,,"LINESTRING (7.4008864 51.4930063, 7.4009098 51.4933037, 7.4009209 51.4934275)",parking_aisle,,,,,
"[53621881, 49430471]",,"['footway', 'service']",,,False,True,46.896,,"LINESTRING (7.4009209 51.4934275, 7.4009098 51.4933037, 7.4008864 51.4930063)",parking_aisle,,,,,
52708978,,footway,,,False,False,13.703000000000001,,"LINESTRING (7.3732079 51.486829, 7.3730426 51.4868554, 7.3730162 51.4868596)",,,,,,
156208764,,footway,,,False,False,51.388,,"LINESTRING (7.3732079 51.486829, 7.373241 51.4868571, 7.3734511 51.4871111, 7.3734983 51.4871919, 7.3735377 51.4872418)",,,,,,
